ModemTime,Longitude,Latitude
2022-05-08 08:16:32.000,"438,760,783","203,747,683"
2022-05-08 08:17:03.000,"438,746,033","20,373,045"
2022-05-08 08:17:33.000,"438,730,966","203,704,316"
2022-05-08 08:17:36.000,"43,873,095","203,702,816"
2022-05-08 08:18:06.000,"438,745,099","203,667,233"
2022-05-08 08:18:36.000,"438,737,449","203,632,816"
2022-05-08 08:18:56.000,"438,736,216","203,632,316"
2022-05-08 08:19:26.000,"438,712,766","203,649,716"
2022-05-08 08:19:56.000,"438,691,833","203,665,516"
2022-05-08 08:20:27.000,"438,667,666","2,036,909"
2022-05-08 08:20:56.000,"43,866,645","20,373,955"
2022-05-08 08:21:26.000,"438,657,216","203,786,833"
2022-05-08 08:21:56.000,"438,641,133","20,382,815"
2022-05-08 08:22:26.000,"438,618,216","203,868"
2022-05-08 08:22:56.000,"438,592,666","20,390,585"
2022-05-08 08:23:26.000,"438,583,133","203,921,133"
2022-05-08 08:23:57.000,"438,571,633","2,039,388"
2022-05-08 08:24:27.000,"438,557,033","203,986,749"
2022-05-08 08:24:57.000,"438,542,333","204,041,616"
2022-05-08 08:25:27.000,"438,516,933","204,090,833"
2022-05-08 08:25:44.000,"4,385,153","204,114,533"
2022-05-08 08:26:13.000,"438,540,566","204,124,716"
2022-05-08 08:26:43.000,"438,563,149","204,161,449"
2022-05-08 08:27:13.000,"438,573,216","204,201,016"
2022-05-08 08:27:44.000,"438,587,616","204,214,433"
2022-05-08 08:28:14.000,"438,587,616","204,214,433"
2022-05-08 08:28:44.000,"438,587,616","204,214,433"
2022-05-08 08:29:14.000,"438,588","204,214,783"
2022-05-08 08:29:44.000,"438,589,333","204,217,516"
2022-05-08 08:30:14.000,"4,385,895","204,217,783"
2022-05-08 08:30:30.000,"438,589,583","20,421,655"
2022-05-08 08:30:38.000,"438,589,566","204,215,616"
2022-05-08 08:30:38.010,"438,589,566","204,215,616"
2022-05-08 08:31:37.000,"438,589,566","204,215,616"
2022-05-08 09:31:43.000,"438,589,566","204,215,616"
2022-05-08 10:31:50.000,"438,589,566","204,215,616"
2022-05-08 10:39:41.000,"4,385,903","2,042,168"
2022-05-08 10:39:42.000,"4,385,903","2,042,168"
2022-05-08 10:39:42.010,"4,385,903","2,042,168"
2022-05-08 10:40:11.000,"4,385,903","2,042,168"
2022-05-08 10:40:27.000,"4,385,903","2,042,168"
2022-05-08 10:40:27.010,"4,385,903","2,042,168"
2022-05-08 11:40:34.000,"4,385,903","2,042,168"
2022-05-08 12:40:40.000,"4,385,903","2,042,168"
2022-05-08 13:40:46.000,"4,385,903","2,042,168"
2022-05-08 14:40:53.000,"4,385,903","2,042,168"
2022-05-08 15:40:59.000,"4,385,903","2,042,168"
2022-05-08 16:41:06.000,"4,385,903","2,042,168"
2022-05-08 17:41:12.000,"4,385,903","2,042,168"
2022-05-08 18:41:18.000,"4,385,903","2,042,168"
2022-05-08 19:41:25.000,"4,385,903","2,042,168"
2022-05-08 20:41:31.000,"4,385,903","2,042,168"
2022-05-08 21:41:37.000,"4,385,903","2,042,168"
2022-05-08 22:41:44.000,"4,385,903","2,042,168"
2022-05-08 23:41:50.000,"4,385,903","2,042,168"
2022-05-09 00:41:56.000,"4,385,903","2,042,168"
2022-05-09 01:42:02.000,"4,385,903","2,042,168"
2022-05-09 02:42:09.000,"4,385,903","2,042,168"
2022-05-09 03:42:16.000,"4,385,903","2,042,168"
2022-05-09 04:24:00.000,"4,385,898","2,042,158"
2022-05-09 04:24:01.000,"4,385,898","2,042,158"
2022-05-09 04:24:01.010,"4,385,898","2,042,158"
2022-05-09 04:24:31.000,"4,385,898","2,042,158"
2022-05-09 04:24:36.000,"43,858,855","2,042,161"
2022-05-09 04:24:37.000,"43,858,855","2,042,161"
2022-05-09 04:25:07.000,"438,587,566","2,042,146"
2022-05-09 04:25:37.000,"438,587,566","2,042,146"
2022-05-09 04:26:07.000,"438,587,566","2,042,146"
